epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1780.52,1.10796,0.63019,1.15722,0.90881,0.90342,0.9611,0.62882,1.15261,0.64502,1.14827,0.0009308,0.0009308,0.0009308
56,1812.63,1.11806,0.62547,1.15141,0.92041,0.90742,0.96131,0.63925,1.09036,0.61241,1.13909,0.000911,0.000911,0.000911
57,1844.37,1.10047,0.62616,1.14621,0.92973,0.90141,0.96573,0.65579,1.09288,0.59723,1.14214,0.0008912,0.0008912,0.0008912
58,1876.66,1.10672,0.63182,1.14932,0.93166,0.90512,0.97196,0.67376,1.0605,0.57596,1.12066,0.0008714,0.0008714,0.0008714
59,1909.68,1.09563,0.62207,1.15661,0.90429,0.91751,0.95807,0.64901,1.09409,0.5951,1.13354,0.0008516,0.0008516,0.0008516
60,1941.78,1.07951,0.60314,1.13318,0.90283,0.91603,0.96015,0.6413,1.11856,0.59229,1.14745,0.0008318,0.0008318,0.0008318
61,1974.42,1.10673,0.61471,1.14262,0.94887,0.8833,0.9668,0.63647,1.1257,0.61706,1.15065,0.000812,0.000812,0.000812
62,2006.94,1.073,0.60013,1.14697,0.94857,0.89074,0.97095,0.66316,1.10652,0.56523,1.14078,0.0007922,0.0007922,0.0007922
63,2039.65,1.13488,0.62226,1.14,0.93892,0.92786,0.97443,0.67461,1.05943,0.55757,1.11842,0.0007724,0.0007724,0.0007724
64,2072.83,1.09072,0.614,1.14485,0.93385,0.91952,0.96891,0.6573,1.09989,0.59069,1.12634,0.0007526,0.0007526,0.0007526
65,2105.87,1.0663,0.62605,1.11619,0.94334,0.90744,0.97429,0.66963,1.06284,0.56791,1.12041,0.0007328,0.0007328,0.0007328
66,2138.7,1.07936,0.59775,1.1343,0.92215,0.93561,0.97347,0.6732,1.06152,0.58995,1.11325,0.000713,0.000713,0.000713
67,2170.51,1.06069,0.59419,1.11979,0.94299,0.89857,0.97633,0.66683,1.0706,0.5605,1.11522,0.0006932,0.0006932,0.0006932
68,2203.3,1.04889,0.57491,1.11199,0.94316,0.90946,0.97393,0.67151,1.06462,0.55473,1.12355,0.0006734,0.0006734,0.0006734
69,2236.05,1.06363,0.57574,1.12269,0.92927,0.9252,0.96846,0.66727,1.0722,0.56237,1.10239,0.0006536,0.0006536,0.0006536
70,2268.55,1.05361,0.57671,1.11736,0.94125,0.9026,0.9744,0.67307,1.05972,0.54292,1.10043,0.0006338,0.0006338,0.0006338
71,2300.8,1.06731,0.58271,1.1222,0.91463,0.94165,0.97411,0.67819,1.04386,0.53764,1.10472,0.000614,0.000614,0.000614
72,2334.32,1.05242,0.56893,1.09971,0.91239,0.92958,0.96822,0.67303,1.06297,0.5525,1.11324,0.0005942,0.0005942,0.0005942
73,2366.88,1.0264,0.59152,1.10466,0.93208,0.94567,0.97667,0.67217,1.07734,0.52749,1.1179,0.0005744,0.0005744,0.0005744
74,2399.62,1.07535,0.5802,1.11822,0.94311,0.90065,0.97161,0.66416,1.05141,0.56451,1.10684,0.0005546,0.0005546,0.0005546
75,2432.21,1.03565,0.56631,1.1006,0.94127,0.92354,0.9759,0.6882,1.01663,0.53288,1.09236,0.0005348,0.0005348,0.0005348
76,2465.41,1.0315,0.55529,1.12005,0.94691,0.90744,0.97056,0.68028,1.02701,0.5426,1.09501,0.000515,0.000515,0.000515
77,2498.05,1.02133,0.56232,1.11254,0.89551,0.93117,0.96536,0.6828,1.03372,0.55389,1.09623,0.0004952,0.0004952,0.0004952
78,2530.24,1.01825,0.55522,1.11342,0.9328,0.92173,0.97414,0.66334,1.07084,0.5365,1.11589,0.0004754,0.0004754,0.0004754
79,2562.59,0.98197,0.53811,1.0792,0.93739,0.92153,0.97458,0.66944,1.08257,0.53831,1.11795,0.0004556,0.0004556,0.0004556
80,2595.12,1.02181,0.55356,1.11815,0.90721,0.9336,0.96963,0.685,1.01932,0.52681,1.09196,0.0004358,0.0004358,0.0004358
